Description,Brand,Model,S/N,Quantity,Remark
Antenna Distribution System,Shure,UA844+,UA844SWB/1010093 2677,1,
Antenna Distribution System,Shure,UA844+,UA845E/0008204 5370,1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-91C, H/H-8771566-07C/ 8771565-81C, BP/4771086-20C/ 4771086-26C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-90C, H/H-8771565-55C/ 8771565-40C, BP/4771086-30/4771086-43C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-89C, H/H-8771565-65C/ 8771565-48C, BP/4771086--28C/ 4771086-19C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566, H/H-8771566, BP/4771086, BP/4771086-33C / 4771086-33C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-77C, H/H-8771565-23C / 8771565-57C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-85C, H/H-8771566-15C/ 8771565-77C, BP/4771086-18C/ 4771086-09C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566, H/H-8771565-53C / 8771565-50C, BP/4771086",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-79C, H/H-8771565-84C/ 8771565-24C, BP/4771086--27C/ 4771086-31C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-92C, H/H-8771566, BP/4771086--16C/ 4771086-21C",1,
Wireless Microphone,MIPRO,ACT525/ Combo Set Clip Mic,"8771566-81C, H/H-8771565-34C/ 8771565-85C, BP/4771086-22C// 4771086-24C",1,
Wireless Microphone,SHURE,QLXD4,1NF0709081 RX/ HH 1NI1045575TX,1,
Wireless Microphone,SHURE,QLXD2 Transmitter,1NF0709086 RX/ HH 1NI1045600TX,1,
Wireless Microphone,Shure,SM58,,70,
Wireless Microphone,Shure,BETA58A,,4,
Wireless Microphone,Shure,Shure 8700,,8,
Wireless Microphone,NPE,PRO98,,2,
Gooseneck Microphone,Shure,MX418,,18,
